__time,/br5/correction_depth/data,/br5/depth_wrt_startup/data
1711615938.503122,1408.248250828,
1711615938.503168,,0.003059024
1711615938.548392,,-0.003059024
1711615938.548445,1407.521659172,
1711615938.598286,1407.521659172,
1711615938.598348,,-0.003059024
1711615938.646957,,-0.004078491
1711615938.647030,1407.400585202,
1711615938.702020,1407.400585202,
1711615938.702070,,-0.004078491
1711615938.747852,1408.248250828,
1711615938.747871,,0.003059024
1711615938.802839,,0.003059024
1711615938.802929,1408.248250828,
1711615938.847859,,0.008157605
1711615938.847894,1408.853768512,
1711615938.901099,1408.853768512,
1711615938.901125,,0.008157605
1711615938.947806,1409.701508053,
1711615938.947831,,0.015295743
1711615939.000635,1409.701508053,
1711615939.000666,,0.015295743
1711615939.047206,1410.428173624,
1711615939.047229,,0.021414414
1711615939.102331,,0.021414414
1711615939.102385,1410.428173624,
1711615939.152597,,0.027532462
1711615939.152661,1411.154765279,
1711615939.198696,1411.154765279,
1711615939.198722,,0.027532462
1711615939.248255,1412.486874619,
1711615939.248274,,0.038749092
1711615939.306114,,0.038749092
1711615939.306170,1412.486874619,
1711615939.347992,1413.819057874,
1711615939.348357,,0.049966343
1711615939.402577,1413.819057874,
1711615939.402634,,0.049966343
1711615939.451930,1415.151167213,
1711615939.452250,,0.061182973
1711615939.501167,1415.151167213,
1711615939.501194,,0.061182973
1711615939.549627,,0.068321111
1711615939.549654,1415.998906754,
1711615939.600199,,0.068321111
1711615939.600252,1415.998906754,
1711615939.650695,,0.079537740
1711615939.652290,1417.331016094,
1711615939.703449,,0.079537740
1711615939.703506,1417.331016094,
1711615939.750442,,0.093814016
1711615939.753003,1419.026495177,
1711615939.801046,1419.026495177,
1711615939.803473,,0.093814016
1711615939.848785,1419.995308689,
1711615939.850984,,0.101971621
1711615939.902033,,0.101971621
1711615939.902068,1419.995308689,
1711615939.948805,1421.448565914,
1711615939.948827,,0.114208340
1711615940.004428,,0.114208340
1711615940.004535,1421.448565914,
1711615940.050720,1422.659601283,
1711615940.052162,,0.124405502
1711615940.098427,,0.124405502
1711615940.100091,1422.659601283,
1711615940.148485,1424.355080366,
1711615940.148506,,0.138681778
1711615940.203203,,0.138681778
1711615940.203265,1424.355080366,
1711615940.248985,1426.050485533,
1711615940.249008,,0.152957432
1711615940.301386,,0.152957432
1711615940.301413,1426.050485533,
1711615940.349200,1426.413781360,
1711615940.350469,,0.156016456
1711615940.405705,1426.413781360,
1711615940.405755,,0.156016456
1711615940.449257,1428.109260443,
1711615940.449290,,0.170292732
1711615940.503768,,0.170292732
1711615940.503834,1428.109260443,
1711615940.551302,1429.683591639,
1711615940.551331,,0.183548918
1711615940.602309,,0.183548918
1711615940.602330,1429.683591639,
1711615940.648468,,0.195785637
1711615940.648530,1431.136848865,
1711615940.702220,1431.136848865,
1711615940.702277,,0.195785637
1711615940.749904,,0.201903686
1711615940.749930,1431.863440520,
1711615940.797205,,0.201903686
1711615940.798099,1431.863440520,
1711615940.850137,,0.213120937
1711615940.850170,1433.195623775,
1711615940.903304,,0.213120937
1711615940.903347,1433.195623775,
1711615940.946824,1434.043363317,
1711615940.948797,,0.220259075
1711615941.005795,1434.043363317,
1711615941.005831,,0.220259075
1711615941.050494,,0.232495172
1711615941.050536,1435.496546627,
1711615941.101584,,0.232495172
1711615941.101607,1435.496546627,
1711615941.149789,1436.344286168,
1711615941.149812,,0.239633310
1711615941.202118,,0.239633310
1711615941.204634,1436.344286168,
1711615941.247056,1437.434247566,
1711615941.247078,,0.248811005
1711615941.298840,1437.434247566,
1711615941.298866,,0.248811005
1711615941.347131,,0.253909586
1711615941.347996,1438.039765251,
1711615941.398277,1438.039765251,
1711615941.398303,,0.253909586
1711615941.448492,,0.264106748
1711615941.448515,1439.250800620,
1711615941.498700,,0.264106748
1711615941.498780,1439.250800620,
1711615941.550620,,0.274303910
1711615941.550637,1440.461835989,
1711615941.600068,1440.461835989,
1711615941.600088,,0.274303910
1711615941.650781,1441.188427644,
1711615941.650803,,0.280421959
1711615941.696772,,0.280421959
1711615941.696934,1441.188427644,
1711615941.749047,,0.285520540
1711615941.750597,1441.793945328,
1711615941.801712,,0.285520540
1711615941.801759,1441.793945328,
1711615941.849680,1442.520610899,
1711615941.849702,,0.291639210
1711615941.899270,,0.291639210
1711615941.899295,1442.520610899,
1711615941.949386,1442.762758840,
1711615941.951398,,0.293678145
1711615942.001449,,0.293678145
1711615942.001506,1442.762758840,
1711615942.049487,1443.247202554,
1711615942.049509,,0.297757259
1711615942.100383,,0.297757259
1711615942.100416,1443.247202554,
1711615942.150145,1444.094942095,
1711615942.150181,,0.304895397
1711615942.199980,,0.304895397
1711615942.200006,1444.094942095,
1711615942.249588,,0.309993978
1711615942.249614,1444.700459780,
1711615942.301437,1444.700459780,
1711615942.301504,,0.309993978
1711615942.353274,1445.063755607,
1711615942.353334,,0.313053002
1711615942.400326,1445.063755607,
1711615942.400350,,0.313053002
1711615942.448516,1445.184829578,
1711615942.448555,,0.314072469
1711615942.499071,,0.314072469
1711615942.499104,1445.184829578,
1711615942.554271,,0.318151583
1711615942.564575,1445.669273291,
1711615942.604194,1445.669273291,
1711615942.604254,,0.318151583
1711615942.650471,,0.319171050
1711615942.650500,1445.790347262,
1711615942.700472,1445.790347262,
1711615942.700520,,0.319171050
1711615942.752726,1446.638086803,
1711615942.752781,,0.326309188
1711615942.799568,,0.326309188
1711615942.799591,1446.638086803,
1711615942.849919,,0.326309188
1711615942.849950,1446.638086803,
1711615942.900747,1446.638086803,
1711615942.901622,,0.326309188
1711615942.950620,,0.327329278
1711615942.950655,1446.759234690,
1711615942.996914,,0.327329278
1711615942.998479,1446.759234690,
1711615943.053551,,0.330388302
1711615943.053590,1447.122530517,
1711615943.099162,,0.330388302
1711615943.099183,1447.122530517,
1711615943.148821,,0.327329278
1711615943.148846,1446.759234690,
1711615943.197652,1446.759234690,
1711615943.198033,,0.327329278
1711615943.249818,,0.330388302
1711615943.249845,1447.122530517,
1711615943.300381,1447.122530517,
1711615943.300436,,0.330388302
1711615943.350693,,0.332427859
1711615943.351859,1447.364752374,
1711615943.398138,1447.364752374,
1711615943.398163,,0.332427859
1711615943.449429,,0.332427859
1711615943.449479,1447.364752374,
