__time,/br5/correction_depth/data,/br5/depth_wrt_startup/data
1711616458.842317,,0.015295743
1711616458.842360,1409.618241472,
1711616458.894381,,0.015295743
1711616458.894397,1409.612485027,
1711616458.943746,1409.848974662,
1711616458.944275,,0.017335300
1711616458.994604,1409.843242439,
1711616458.994645,,0.017335300
1711616459.041903,,0.027532462
1711616459.042029,1411.048666689,
1711616459.096572,,0.027532462
1711616459.096640,1411.043055570,
1711616459.143666,1411.764182688,
1711616459.143702,,0.033651133
1711616459.195214,1411.758644236,
1711616459.195266,,0.033651133
1711616459.241323,,0.044867762
1711616459.243405,1413.085348334,
1711616459.291186,1413.079943092,
1711616459.291208,,0.044867762
1711616459.342813,,0.048946876
1711616459.344378,1413.559030009,
1711616459.393523,,0.048946876
1711616459.395207,1413.553673212,
1711616459.443730,1415.243891122,
1711616459.443786,,0.063222530
1711616459.492066,1415.238703866,
1711616459.492092,,0.063222530
1711616459.542019,,0.073419692
1711616459.542045,1416.444673082,
1711616459.594470,1416.439606929,
1711616459.594517,,0.073419692
1711616459.644877,,0.085656411
1711616459.644928,1417.887943327,
1711616459.692769,1417.883022500,
1711616459.692908,,0.085656411
1711616459.742963,1419.089258145,
1711616459.742990,,0.095853573
1711616459.792943,,0.095853573
1711616459.792968,1419.084458421,
1711616459.845078,1420.411901248,
1711616459.845125,,0.107070202
1711616459.891544,,0.107070202
1711616459.892085,1420.407234735,
1711616459.939974,1421.492638616,
1711616459.940395,,0.116247897
1711616459.997372,,0.116247897
1711616459.997421,1421.488081099,
1711616460.041206,,0.133583197
1711616460.042354,1423.542504370,
1711616460.094289,1423.538152731,
1711616460.094310,,0.133583197
1711616460.141079,1424.502711485,
1711616460.141118,,0.141740803
1711616460.191456,,0.141740803
1711616460.192155,1424.498456727,
1711616460.240926,,0.157036546
1711616460.240960,1426.310936678,
1711616460.293410,,0.157036546
1711616460.293456,1426.306863576,
1711616460.346072,,0.161115660
1711616460.347961,1426.787282631,
1711616460.393300,,0.161115660
1711616460.393340,1426.783257973,
1711616460.443891,1428.353721944,
1711616460.443935,,0.174371846
1711616460.491006,,0.174371846
1711616460.493129,1428.349854719,
1711616460.543184,1428.830405729,
1711616460.543224,,0.178450337
1711616460.593353,,0.178450337
1711616460.593383,1428.826586941,
1711616460.643469,,0.185588475
1711616460.643956,1429.670592468,
1711616460.691938,,0.185588475
1711616460.691979,1429.666858454,
1711616460.742353,1431.116526991,
1711616460.742379,,0.197825194
1711616460.796208,,0.197825194
1711616460.797392,1431.112938303,
1711616460.843196,,0.205982799
1711616460.843228,1432.078260008,
1711616460.893842,1432.074768201,
1711616460.893884,,0.205982799
1711616460.942122,1433.403592867,
1711616460.942190,,0.217200051
1711616460.994552,,0.217200051
1711616460.994612,1433.400234278,
1711616461.044369,1434.244626082,
1711616461.044430,,0.224337567
1711616461.098493,1434.241352260,
1711616461.098535,,0.224337567
1711616461.141807,1435.933727068,
1711616461.141863,,0.238613843
1711616461.196885,,0.238613843
1711616461.196938,1435.930622794,
1711616461.242502,,0.239633310
1711616461.242554,1436.048604598,
1711616461.292855,,0.239633310
1711616461.292904,1436.045512431,
1711616461.342927,,0.249830472
1711616461.342983,1437.253576736,
1711616461.391491,1437.250605673,
1711616461.391516,,0.249830472
1711616461.442088,1437.853212846,
1711616461.442132,,0.254929053
1711616461.492923,,0.254929053
1711616461.492958,1437.850302334,
1711616461.541862,,0.265126215
1711616461.541938,1439.058548295,
1711616461.591370,,0.265126215
1711616461.591914,1439.055758887,
1711616461.641619,1439.658547715,
1711616461.641638,,0.270224796
1711616461.693683,1439.655818859,
1711616461.693741,,0.270224796
1711616461.743294,1440.016496083,
1711616461.743350,,0.273284443
1711616461.791261,,0.273284443
1711616461.791600,1440.013803563,
1711616461.840927,,0.284501072
1711616461.840949,1441.343353595,
1711616461.891670,,0.284501072
1711616461.891687,1441.340794286,
1711616461.939741,1442.186059293,
1711616461.940101,,0.291639210
1711616462.038184,,0.291639210
1711616462.038215,1442.183584759,
1711616462.128528,1442.786688460,
1711616462.128551,,0.296737791
1711616462.136976,1442.784274478,
1711616462.137000,,0.296737791
1711616462.151153,1443.993016968,
1711616462.151174,,0.306934954
1711616462.191009,,0.306934954
1711616462.191030,1443.990724088,
1711616462.239820,1443.746185130,
1711616462.240588,,0.304895397
1711616462.290921,1443.743868029,
1711616462.291211,,0.304895397
1711616462.341073,1444.589375243,
1711616462.341096,,0.312033535
1711616462.390640,1444.587142916,
1711616462.391150,,0.312033535
1711616462.441621,,0.317132116
1711616462.441651,1445.190488825,
1711616462.494774,,0.317132116
1711616462.494800,1445.188317049,
1711616462.541305,,0.323250164
1711616462.541329,1445.912809588,
1711616462.593509,1445.910710471,
1711616462.593577,,0.323250164
1711616462.641975,,0.320191140
1711616462.642565,1445.545279198,
1711616462.693607,1445.543143752,
1711616462.694726,,0.320191140
1711616462.742728,,0.332427859
1711616462.742758,1446.994410857,
1711616462.792509,1446.992420737,
1711616462.792531,,0.332427859
1711616462.845529,1446.748184538,
1711616462.845563,,0.330388302
1711616462.893362,1446.746170195,
1711616462.893398,,0.330388302
1711616462.940520,1447.107488010,
1711616462.940542,,0.333447326
1711616462.994655,,0.333447326
1711616462.994709,1447.105509997,
1711616463.041064,1447.466864141,
1711616463.041172,,0.336506350
1711616463.091654,1447.464922458,
1711616463.093510,,0.336506350
1711616463.142673,,0.334467416
1711616463.142747,1447.220808619,
1711616463.194550,1447.218842720,
1711616463.194609,,0.334467416
1711616463.242369,1447.459048978,
1711616463.242402,,0.336506350
1711616463.292797,,0.336506350
1711616463.294290,1447.457107295,
1711616463.341635,,0.336506350
1711616463.341667,1447.455165612,
1711616463.393176,,0.336506350
1711616463.393222,1447.453223929,
1711616463.441650,,0.339565997
1711616463.441679,1447.814688325,
1711616463.492032,1447.812782979,
1711616463.494761,,0.339565997
1711616463.541435,,0.336506350
1711616463.542161,1447.447471553,
1711616463.592996,,0.336506350
1711616463.593025,1447.445529869,
1711616463.644765,1447.443588186,
1711616463.644810,,0.336506350
1711616463.693968,,0.336506350
1711616463.694017,1447.441646503,
1711616463.746478,,0.339565997
1711616463.748888,1447.803110900,
